"Gene","ACC_survival_p","BLCA_survival_p","BRCA_survival_p","CESC_survival_p","CHOL_survival_p","COAD_survival_p","DLBC_survival_p","ESCA_survival_p","GBM_survival_p","HNSC_survival_p","KICH_survival_p","KIRC_survival_p","KIRP_survival_p","LAML_survival_p","LGG_survival_p","LIHC_survival_p","LUAD_survival_p","LUSC_survival_p","MESO_survival_p","OV_survival_p","PAAD_survival_p","PCPG_survival_p","PRAD_survival_p","READ_survival_p","SARC_survival_p","SKCM_survival_p","STAD_survival_p","TGCT_survival_p","THCA_survival_p","THYM_survival_p","UCEC_survival_p","UCS_survival_p","UVM_survival_p"
"A1BG",0.24,0.74,0.68,0.86,0.67,0.8,0.68,0.33,0.91,0.82,0.74,0.0098,0.18,0.77,0.00013,0.082,0.035,0.52,0.081,0.72,0.061,0.56,0.61,0.17,0.22,0.27,0.27,0.8,0.16,0.021,0.56,0.3,0.043
"A1CF",1,1,1,1,0.57,0.64,1,0.41,1,1,1,1,0.69,1,1,0.65,1,1,1,1,0.064,1,1,0.87,1,1,0.9,0.78,1,1,1,0.87,1
"A2M",0.51,0.068,0.35,0.23,0.99,0.92,0.17,0.1,0.8,0.17,0.79,1,0.45,0.57,0.062,0.74,0.31,0.013,0.23,0.93,0.99,0.34,0.063,0.52,0.025,0.0043,0.083,0.31,0.76,0.59,0.71,0.65,0.16
"A2ML1",0.081,0.89,0.12,0.93,0.87,0.11,0.074,0.44,0.88,0.079,0.43,1,0.99,0.19,0.69,1,0.51,0.24,1,0.97,0.042,0.35,0.84,0.54,0.019,0.0075,0.47,0.79,0.25,0.18,0.34,0.56,0.31
"A2MP1",0.23,0.27,0.83,0.59,0.64,0.2,0.76,0.41,0.45,0.031,0.23,0.64,0.29,0.094,0.49,0.75,0.33,0.28,0.41,0.2,0.59,0.82,0.28,0.98,0.26,0.0014,0.31,0.46,0.44,0.16,0.29,0.45,1
"A3GALT2",1,1,1,0.36,1,1,1,0.55,0.22,1,1,1,1,0.94,1,1,1,1,1,0.73,1,1,1,1,1,1,1,1,1,1,1,1,1
"A4GALT",0.7,0.34,0.45,0.0039,0.96,0.085,0.77,0.16,0.93,0.65,0.11,0.0057,0.22,0.55,0.0028,0.36,0.037,0.18,0.086,0.55,0.66,0.97,0.85,0.71,0.0057,0.78,0.16,0.049,0.17,0.7,0.1,0.81,0.00065
"A4GNT",1,0.14,0.33,0.59,0.4,1,1,0.46,0.92,0.023,1,0.8,0.51,0.5,0.056,1,0.2,0.99,0.12,0.39,0.42,0.76,1,1,0.29,0.81,0.76,0.69,0.3,1,1,0.71,1
"AAAS",0.4,0.98,0.81,0.49,0.66,0.86,0.68,0.85,0.55,0.88,0.074,0.064,0.67,0.14,0.56,0.0063,0.077,0.58,0.45,0.13,0.058,0.8,0.92,0.19,0.86,0.25,0.64,0.32,0.48,0.0012,0.088,0.044,0.42
"AACS",0.022,0.091,0.35,0.44,0.41,0.55,0.55,0.29,0.02,0.24,0.37,0.43,0.61,0.78,0.097,0.027,0.0033,0.69,0.53,0.24,0.44,0.89,0.72,0.14,0.79,0.0042,0.82,0.86,0.23,0.97,0.91,0.69,0.00014
"AACSP1",1,0.84,0.41,0.096,0.3,1,1,0.66,0.92,0.054,1,0.35,0.15,1,0.81,1,0.63,0.47,0.22,0.29,0.77,0.28,0.18,1,1,0.052,0.69,0.64,1,0.77,0.52,0.44,1
"AADAC",0.71,0.54,0.71,0.23,0.95,0.83,1,0.86,1,0.72,1,0.85,1,1,1,0.29,0.9,0.62,0.28,1,0.057,0.54,1,0.94,0.56,1,0.045,0.12,1,1,0.64,0.034,1
"AADACL2",1,1,1,0.06,1,1,1,0.22,1,0.64,1,1,1,1,1,1,1,0.019,1,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1
"AADACL3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.73,1,1,1,1,1,1,1,0.43,1,1,1,1,1
"AADACL4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.12,1,1,1,1,1,1,1,0.47,0.031,1
"AADACP1",0.8,0.36,0.042,0.73,0.57,0.26,1,0.48,0.13,0.56,0.04,0.45,1,0.24,0.42,0.026,0.99,0.13,0.092,0.24,0.92,0.91,0.72,0.16,0.96,0.6,0.81,0.74,0.82,0.67,0.99,0.82,0.26
"AADAT",0.19,0.086,0.73,0.45,0.52,0.021,0.98,0.78,0.95,0.71,0.61,0.0068,0.69,0.018,1,0.6,0.76,0.57,0.0042,0.24,0.36,0.53,0.36,0.079,0.071,0.73,0.17,0.72,0.0038,0.88,0.81,0.57,0.15
"AAED1",0.00025,0.13,0.067,0.78,0.48,0.049,0.82,0.49,0.77,0.09,0.36,1,0.28,0.24,1,0.17,0.89,0.0034,0.4,0.46,0.42,0.59,0.28,0.32,0.33,0.65,0.53,0.77,0.097,0.48,0.81,0.36,0.28
"AAGAB",0.069,0.35,0.049,0.87,0.54,0.43,0.46,0.72,0.41,0.47,0.092,0.025,0.7,0.024,0.0061,0.26,0.0096,0.88,0.98,0.39,0.81,0.7,0.51,0.19,0.57,0.91,0.5,0.98,0.29,0.07,0.18,0.58,0.22
"AAK1",0.9,0.54,0.014,0.5,0.58,0.94,0.94,0.9,0.95,0.64,0.059,0.03,0.59,0.076,0.02,0.44,0.38,0.48,0.079,0.82,0.61,0.088,0.3,0.053,0.54,0.47,0.16,0.74,0.076,0.95,0.12,0.78,0.0046
"AAMDC",0.017,0.47,0.56,0.57,0.76,0.74,0.26,0.88,0.086,0.4,0.011,0.021,0.49,0.92,0.029,0.11,0.97,0.11,0.15,0.37,0.083,0.11,0.39,0.11,0.92,0.37,0.43,0.3,0.84,0.5,0.54,0.88,0.16
"AAMP",0.005,0.26,0.64,0.41,0.61,0.8,0.35,0.75,0.063,0.71,0.063,1,0.9,0.13,0.58,0.001,0.016,0.9,0.062,0.88,0.2,0.65,0.44,0.6,0.61,0.053,0.02,0.54,0.58,0.27,0.71,0.39,1
"AANAT",0.6,0.86,0.39,0.93,0.21,0.43,0.69,0.94,0.43,0.53,0.18,0.086,0.8,0.4,0.0014,0.19,0.25,0.22,0.32,0.76,0.14,0.53,0.63,0.89,0.91,0.49,0.41,0.082,0.22,0.0061,0.88,0.8,0.0048
"AAR2",0.0015,0.46,0.29,0.76,0.58,0.83,0.71,0.84,0.66,0.044,0.37,0.003,0.74,0.79,0.36,0.0016,0.96,0.99,0.64,0.28,0.81,0.96,0.56,0.0098,0.59,0.055,0.6,0.34,0.71,0.077,0.8,0.45,0.35
"AARD",0.37,0.0012,0.96,0.77,0.96,0.92,0.43,0.53,0.053,0.49,0.25,0.83,0.47,1,0.99,1,0.32,0.95,0.17,0.67,0.28,0.012,0.72,0.39,0.86,0.00022,0.32,0.17,0.98,0.06,0.36,0.81,0.26
"AARS",0.21,0.066,0.19,0.16,0.79,0.9,0.72,0.4,0.61,0.24,0.83,0.28,0.045,0.62,0.0061,0.34,0.29,0.42,0.79,0.94,0.91,0.5,0.84,0.59,0.5,0.28,0.56,0.37,0.28,0.28,0.1,0.24,0.034
"AARS2",0.16,0.46,0.2,0.13,0.39,0.95,0.77,0.67,0.54,0.6,0.068,0.0071,0.58,0.29,0.28,0.029,0.85,0.37,0.72,0.98,0.12,0.37,0.68,0.1,0.0084,0.19,0.75,0.97,0.24,0.32,0.72,0.62,0.5
"AARSD1",0.0097,0.093,0.79,0.99,0.6,0.95,0.14,0.11,0.84,0.93,0.72,0.83,0.94,0.72,0.9,0.24,0.95,0.31,0.055,0.12,0.0037,0.093,0.19,0.0024,0.88,0.54,0.092,0.78,0.71,0.19,0.36,0.8,0.00012
"AASDH",0.98,0.12,0.15,0.89,0.8,0.83,0.28,0.64,0.12,0.88,0.36,0.0014,0.23,0.81,0.41,0.093,0.87,0.84,0.23,0.48,0.44,0.37,0.88,0.2,0.9,0.64,0.48,0.33,0.49,0.94,0.094,0.47,0.6
"AASDHPPT",0.63,0.36,0.056,0.78,0.14,0.71,0.82,0.18,0.32,0.17,0.3,1,0.17,0.35,0.41,0.29,0.061,0.88,0.59,0.48,0.7,0.07,0.44,0.12,0.0057,0.5,0.84,0.56,0.67,0.69,0.48,0.26,0.4
"AASS",0.68,0.31,0.65,0.81,0.85,0.013,0.96,0.16,0.13,0.18,0.39,0.076,0.25,0.63,0.0032,0.047,0.36,0.77,0.84,0.27,0.76,0.54,0.86,1,0.36,0.074,0.27,0.52,0.77,0.35,0.97,0.86,0.0057
"AATBC",0.38,0.018,1,0.14,0.94,0.24,0.53,0.71,0.24,0.0015,0.52,0.008,0.68,0.51,0.0026,0.43,0.011,0.16,0.32,0.57,0.61,0.55,0.8,0.65,0.28,0.074,0.99,0.093,0.5,0.37,0.11,0.61,0.0087
"AATF",0.0011,0.15,0.44,0.15,0.071,0.44,0.4,0.028,0.64,0.0087,0.034,0.65,0.015,0.7,0.68,0.0071,0.042,0.74,0.00057,0.43,0.044,0.52,0.78,0.42,0.67,0.17,0.34,0.3,0.079,0.16,0.16,0.99,0.67
"AATK",0.00048,0.94,0.13,0.23,0.33,0.44,0.27,0.32,0.71,0.39,0.67,0.6,0.3,0.93,0.82,0.48,0.38,0.66,0.66,0.28,0.19,0.54,0.66,0.55,0.4,0.72,0.029,0.045,0.95,0.68,0.29,0.46,0.17
"ABALON",0.8,0.97,0.25,0.64,0.2,0.86,0.27,0.76,0.44,0.95,0.79,0.13,0.77,0.73,0.84,0.036,0.085,0.031,0.78,0.81,0.03,0.98,0.39,0.16,0.62,0.62,0.18,0.18,0.4,0.21,0.78,0.32,0.0052
"ABAT",0.019,0.82,0.23,0.39,0.66,0.15,0.7,0.25,0.68,0.9,0.53,0.00013,0.033,0.58,0.019,0.0021,0.00075,0.52,0.057,0.54,0.16,0.55,0.42,0.19,0.66,0.054,0.81,0.45,0.54,0.93,0.95,0.48,0.22
"ABCA1",0.59,0.83,0.25,0.46,0.37,0.23,0.93,0.88,0.32,0.73,0.086,0.00025,0.29,0.41,0.0099,0.41,0.66,0.091,0.94,0.43,0.62,0.28,0.17,0.69,0.47,0.034,0.019,0.29,0.53,0.52,0.85,0.36,0.92
"ABCA10",0.27,0.063,0.12,0.54,0.51,0.92,0.22,0.36,0.27,0.039,0.28,0.0014,0.14,0.097,0.0027,0.2,0.29,0.68,0.58,0.4,0.09,0.83,0.18,0.43,0.94,0.15,0.49,0.5,0.042,0.007,0.33,0.68,0.17
"ABCA11P",0.39,0.33,0.61,0.38,0.79,0.45,0.32,0.38,0.79,0.038,0.71,0.41,0.99,0.49,0.34,0.57,0.59,0.37,0.0091,0.97,0.087,0.87,0.18,0.43,0.25,0.81,0.22,0.79,0.087,0.66,0.19,0.77,0.41
"ABCA12",1,0.53,0.084,0.4,0.52,0.038,1,0.11,0.7,0.85,0.75,0.12,0.0019,0.63,1,1,0.16,0.66,0.62,1,0.014,0.061,0.26,0.84,0.54,0.00056,0.016,0.054,0.56,0.63,0.68,0.9,0.087
"ABCA13",0.28,0.48,0.48,0.18,0.14,0.83,1,0.88,0.07,0.082,0.92,0.16,0.89,0.033,1,0.28,0.78,0.11,0.27,0.0085,0.61,1,0.47,0.23,0.56,0.67,0.98,0.33,0.62,0.28,0.98,0.66,0.0029
"ABCA17P",0.19,0.73,0.51,0.014,0.25,0.058,0.1,0.5,0.74,0.38,0.34,0.064,0.054,1,0.0018,0.37,0.1,0.78,0.046,0.38,0.028,0.86,0.3,0.13,0.35,0.12,0.2,0.099,0.43,0.051,0.47,0.98,0.0016
"ABCA2",0.017,0.73,0.09,0.028,0.97,0.016,0.54,0.63,0.48,0.85,0.0096,0.5,0.68,0.17,0.78,0.14,0.044,0.11,0.36,0.8,0.63,0.66,0.34,0.6,0.39,0.094,0.071,0.34,0.23,0.22,0.3,0.059,0.028
"ABCA3",1,0.43,0.42,0.19,0.11,0.39,0.96,0.95,0.98,0.96,0.44,0.29,0.45,0.62,0.0013,0.81,0.01,0.026,0.27,0.16,0.12,0.88,0.29,0.25,0.17,0.98,0.019,0.62,0.66,0.19,0.28,0.29,0.00029
"ABCA4",0.7,0.0075,0.86,0.83,0.74,0.56,0.94,0.83,0.96,0.99,0.12,0.0045,0.049,1,0.11,0.45,0.49,0.59,0.81,0.79,0.54,0.37,0.66,0.09,0.66,0.18,1,0.83,0.43,0.54,0.25,0.84,0.14
"ABCA5",0.8,0.68,0.49,0.52,0.38,0.058,0.86,0.66,0.024,0.39,0.087,0.01,0.056,0.37,1,0.34,0.043,0.016,0.26,0.67,0.00096,0.9,0.11,0.91,0.26,0.055,0.85,0.48,0.22,0.092,0.97,0.92,0.41
"ABCA6",0.51,0.87,0.63,0.66,0.53,0.082,0.75,0.7,0.38,0.032,0.14,0.48,0.54,0.27,0.00066,0.041,0.12,0.22,0.33,0.42,0.19,0.52,0.55,0.87,0.41,0.018,0.022,0.088,0.46,0.4,0.72,0.21,0.27
"ABCA7",0.1,0.72,0.3,0.54,0.12,0.003,0.92,0.018,0.4,0.11,0.74,0.00033,0.64,0.02,0.0017,0.5,0.37,0.79,0.25,0.59,0.83,0.24,0.075,0.13,0.045,0.45,0.25,0.78,0.16,0.1,0.8,0.2,0.0018
"ABCA8",0.079,0.15,0.16,0.68,0.82,0.73,0.22,0.41,0.47,0.19,0.51,0.03,0.28,0.62,0.058,0.14,0.039,0.43,0.38,0.74,0.02,0.85,0.28,0.81,0.69,0.0061,0.00088,0.76,0.37,0.8,0.59,0.95,0.41
"ABCA9",0.24,0.18,0.35,0.65,0.18,0.1,0.78,0.69,0.58,0.0098,0.022,0.072,0.6,0.17,0.62,0.0075,0.2,0.49,0.024,0.26,0.24,0.42,0.91,0.95,0.28,0.15,0.014,0.81,0.2,0.14,0.97,0.18,0.54
"ABCB1",0.15,0.74,0.3,0.031,0.38,0.42,0.4,0.79,0.67,0.1,0.71,1,0.98,0.078,0.35,0.47,0.013,0.64,0.11,0.29,0.0059,0.49,0.81,0.27,0.003,1,0.36,0.53,0.54,0.41,0.087,0.26,0.78
"ABCB10",0.005,0.11,0.28,0.035,0.17,0.21,0.083,0.53,0.91,0.0045,0.63,0.00042,0.82,0.55,0.63,0.67,0.046,0.3,0.049,0.78,0.55,0.014,0.75,0.14,0.54,0.91,0.97,0.8,0.056,0.14,0.57,0.61,0.14
"ABCB10P1",1,1,1,1,1,1,1,1,1,1,1,0.11,1,1,0.019,1,1,0.78,1,1,1,1,1,1,1,1,1,0.59,1,1,1,1,1
"ABCB10P3",1,1,0.67,1,1,1,1,1,1,1,0.35,0.54,1,1,0.75,1,1,1,1,1,1,1,1,1,0.014,1,1,1,1,1,0.73,1,1
"ABCB10P4",1,1,0.75,1,1,1,1,1,1,1,1,0.22,1,1,1,1,1,0.42,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1
"ABCB11",1,0.42,0.75,0.85,0.97,0.94,1,0.69,0.51,0.71,1,1,1,0.55,0.00056,0.019,0.068,0.4,1,0.83,0.12,1,0.69,0.85,1,0.15,0.35,1,1,1,1,0.66,1
"ABCB4",0.0016,0.084,0.52,0.12,0.087,0.3,0.3,0.45,0.87,0.041,0.74,0.097,0.17,0.61,0.00066,0.4,0.28,0.92,0.8,0.65,0.00062,0.55,0.66,0.31,0.14,0.31,0.44,0.4,0.5,0.49,0.31,0.29,0.00067
"ABCB5",0.55,0.052,0.6,0.27,0.11,0.31,1,0.43,0.33,0.11,0.21,0.6,0.5,0.94,1,0.025,0.77,0.85,0.076,0.11,0.42,1,0.06,0.35,0.25,0.26,0.00076,0.47,1,1,0.97,0.68,0.89
"ABCB6",1,0.92,0.23,0.31,0.47,0.25,0.41,0.94,0.61,0.97,0.073,0.77,0.0015,0.31,0.086,0.0012,0.088,0.71,0.69,0.5,0.32,0.25,0.082,0.16,0.86,0.002,0.55,0.17,0.3,0.39,0.78,0.32,1
"ABCB7",0.59,0.44,0.27,0.37,0.84,0.94,0.29,0.15,0.012,0.42,0.16,1,0.42,0.69,0.08,0.77,0.62,0.6,0.046,0.45,0.7,0.91,0.41,0.24,0.37,0.44,0.5,0.49,0.55,0.64,0.27,0.75,0.14
"ABCB8",0.036,0.065,0.13,0.36,0.76,0.95,0.0045,0.46,0.21,0.32,0.028,0.099,0.11,0.16,0.00044,0.28,0.46,0.33,0.55,0.88,0.1,0.65,0.49,0.63,0.69,0.016,0.76,0.45,0.067,0.059,0.49,0.92,1
"ABCB9",0.28,0.01,0.0034,0.25,0.48,0.73,0.045,0.66,0.24,0.95,0.3,0.13,0.18,0.23,0.013,0.21,0.98,0.89,0.68,0.66,0.67,0.065,0.42,0.97,0.34,0.53,0.85,0.94,0.033,0.07,0.31,0.73,0.0011
"ABCC1",0.4,0.04,0.86,0.83,0.36,0.43,0.65,0.27,0.94,0.57,0.27,0.63,0.07,0.57,0.0017,0.00064,0.94,0.36,0.0034,0.41,0.16,0.98,0.66,0.6,0.88,0.061,0.29,0.55,0.055,0.027,0.18,0.046,0.055
"ABCC10",0.00035,0.78,0.8,0.6,0.52,0.047,0.88,0.18,0.65,0.6,0.63,1,0.2,0.41,0.016,0.035,1,0.22,0.15,1,0.57,0.36,0.77,0.23,0.16,0.24,0.48,0.48,0.35,0.34,0.92,0.5,0.97
"ABCC11",0.38,0.074,0.31,0.27,0.18,0.42,0.56,0.28,0.38,0.62,0.16,0.46,0.22,0.9,0.048,0.88,0.0037,0.31,0.077,0.49,0.87,0.93,1,0.029,0.72,0.97,0.42,0.17,0.28,0.99,0.26,0.16,0.75
"ABCC12",1,1,0.83,1,1,1,1,1,0.4,1,1,1,1,1,0.27,1,0.015,1,1,1,1,1,0.2,1,1,1,1,0.48,1,1,0.65,0.25,0.49
"ABCC13",1,0.9,0.63,1,1,0.38,1,0.74,1,1,1,1,1,0.32,0.99,1,0.88,0.99,1,0.21,0.13,1,1,0.38,1,1,0.48,0.31,0.91,0.94,1,0.12,1
"ABCC2",0.43,0.19,0.096,0.57,1,0.28,0.31,0.27,0.15,0.45,0.6,0.23,0.051,0.93,0.55,0.81,0.049,0.83,0.31,0.96,0.35,0.43,0.084,0.27,0.97,0.00081,0.36,0.098,0.13,0.021,0.73,0.62,0.69
"ABCC3",0.43,0.021,0.51,0.24,0.9,0.62,0.019,0.72,0.24,0.029,0.98,0.24,0.044,0.38,1,0.4,0.58,0.057,0.068,0.31,0.043,0.45,0.17,0.37,0.23,0.057,0.93,0.09,0.23,0.73,0.93,0.37,0.002
"ABCC4",0.11,0.37,0.57,0.065,0.24,0.21,0.97,0.095,0.31,0.53,0.74,1,0.041,0.44,0.58,0.0094,0.18,0.54,0.0036,0.89,0.95,0.66,0.045,0.86,0.84,0.88,0.39,0.63,0.46,0.82,0.53,0.95,0.00033
"ABCC5",1,0.95,0.36,0.45,0.27,0.62,0.74,1,0.4,0.35,0.94,0.13,0.17,0.22,0.35,1,0.93,0.058,0.067,0.83,0.061,0.28,0.0031,0.67,0.4,0.066,0.66,0.93,0.79,0.72,0.56,0.42,0.028
"ABCC6",0.84,0.1,0.42,0.35,0.095,0.29,0.045,0.3,0.98,0.58,0.047,0.0028,0.046,0.23,0.56,0.28,0.004,0.062,0.08,0.19,0.88,0.96,0.14,0.88,0.42,0.96,0.39,0.49,0.48,0.079,0.016,0.17,0.71
"ABCC6P1",0.99,0.66,0.92,0.27,0.54,0.42,0.39,0.43,0.57,0.039,0.36,0.13,0.014,0.82,0.94,0.013,0.0054,0.56,0.1,0.25,0.35,0.97,0.56,0.2,0.14,1,0.43,0.51,0.88,0.32,0.012,0.4,0.0071
"ABCC6P2",0.0089,0.45,0.97,0.83,0.4,0.18,1,0.81,0.65,0.85,0.68,0.00043,0.042,1,0.26,0.62,1,0.18,0.77,0.89,0.96,0.44,0.6,0.25,0.44,0.18,0.044,0.79,0.78,0.39,0.0069,0.63,0.0075
"ABCC8",0.9,0.74,0.45,0.65,0.11,0.22,0.41,0.91,0.14,1,0.9,0.19,0.71,0.78,1,0.093,0.023,0.86,0.36,0.19,0.028,0.53,0.74,0.94,0.84,0.42,0.17,0.061,0.77,0.084,0.83,0.052,0.46
"ABCC9",0.33,1,0.53,0.29,0.88,0.28,0.51,0.6,0.79,0.39,0.13,0.04,0.032,0.057,0.21,0.38,0.44,0.0036,0.19,0.83,0.39,0.32,0.68,0.25,0.037,0.5,0.017,0.047,0.035,0.34,0.092,0.39,0.11
"ABCD1",0.55,0.38,0.027,0.33,0.3,0.52,0.57,0.57,0.054,0.57,0.46,0.83,0.96,0.042,1,0.38,0.068,0.45,0.52,0.83,0.72,0.95,0.38,0.32,0.051,0.8,0.41,0.32,0.053,0.019,0.056,0.78,0.51
"ABCD2",0.54,0.49,0.045,0.036,0.39,0.98,0.42,0.52,0.58,0.0015,0.16,0.067,0.46,0.0076,0.019,0.16,0.016,0.68,0.34,0.13,0.026,0.64,0.86,0.67,0.0083,1,0.31,0.53,0.56,0.039,0.14,0.78,0.018
"ABCD3",0.14,0.87,0.95,0.7,0.97,0.07,0.78,0.98,0.76,0.29,0.086,1,0.069,0.57,0.038,0.45,0.88,0.91,0.19,0.68,0.68,0.17,0.76,0.1,0.2,0.089,0.74,0.044,0.66,0.28,0.8,0.81,0.62
"ABCD4",0.0014,0.034,0.88,0.62,0.55,0.15,0.33,0.36,0.72,0.76,0.92,0.34,0.47,0.59,0.62,0.92,0.46,0.9,0.74,0.57,0.0011,0.98,0.046,0.11,0.87,0.32,0.83,0.084,0.54,0.07,0.066,0.58,0.27
"ABCE1",0.071,0.66,0.022,0.019,0.3,0.022,0.79,0.26,0.99,0.053,0.013,0.0091,0.18,0.13,0.016,0.024,0.017,0.74,0.0059,0.74,0.021,0.73,0.16,0.091,0.3,0.4,0.94,0.47,0.12,0.79,0.42,0.93,0.69
"ABCF1",0.57,0.036,0.11,0.15,0.2,0.36,0.74,0.65,0.17,0.51,0.071,0.00026,0.83,0.92,0.38,0.053,0.28,0.21,0.26,0.5,0.54,0.39,0.6,0.14,0.12,0.0071,0.87,0.94,0.054,0.16,0.86,0.83,0.49
"ABCF2",0.22,0.12,0.34,0.3,0.82,0.84,0.62,0.42,0.4,0.39,0.003,0.05,0.85,0.4,0.03,0.021,0.1,0.9,0.08,0.88,0.64,0.42,0.42,0.73,0.49,0.093,0.47,0.6,0.25,0.83,0.7,0.095,0.059
"ABCF2",0.22,0.12,0.34,0.3,0.82,0.84,0.62,0.42,0.4,0.39,0.003,0.05,0.85,0.4,0.03,0.021,0.1,0.9,0.08,0.88,0.64,0.42,0.42,0.73,0.49,0.093,0.47,0.6,0.25,0.83,0.7,0.095,0.059
"ABCF2P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.029,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ABCF3",0.73,0.43,0.059,0.94,0.92,0.43,0.14,0.87,0.73,0.97,0.096,0.17,0.58,0.53,0.61,1,0.37,0.1,0.6,0.98,0.99,0.68,0.61,0.59,0.16,0.33,0.97,0.94,0.88,0.32,0.23,0.26,0.038
"ABCG1",0.69,0.2,0.88,0.55,0.86,0.88,0.83,0.99,0.97,0.77,0.73,1,0.033,0.012,0.082,0.55,0.48,0.91,0.22,0.071,0.031,0.27,0.49,0.45,0.39,0.005,0.2,0.02,0.26,0.67,0.68,0.73,0.18
"ABCG2",0.18,0.5,0.13,0.38,0.93,0.7,0.49,0.85,0.062,0.59,0.22,1,0.57,0.94,0.9,0.5,0.66,0.65,0.75,0.3,0.12,0.29,0.52,0.99,0.8,0.46,0.34,0.36,0.99,0.12,0.64,0.83,0.25
"ABCG4",0.59,0.13,0.12,0.052,0.62,0.085,0.11,0.46,0.63,0.77,0.82,0.047,0.63,1,0.85,0.76,0.62,0.088,0.0031,0.64,0.31,0.12,0.68,0.36,0.74,0.049,0.015,0.5,0.32,0.00093,0.093,0.86,0.019
"ABCG5",0.18,0.078,0.92,0.093,0.46,0.83,0.32,0.65,0.67,0.076,0.49,1,0.16,0.12,0.97,0.068,0.52,0.18,0.021,0.018,0.13,0.89,0.14,0.96,0.022,0.59,0.48,0.77,0.64,0.91,0.69,0.53,0.52
"ABCG8",1,1,0.41,1,0.45,0.7,1,0.48,1,1,1,0.76,0.09,0.68,0.13,0.085,1,1,1,0.3,0.69,0.14,1,0.93,1,1,0.018,0.9,1,1,0.98,0.72,1
"ABHD1",0.42,0.073,0.037,0.032,0.086,0.11,0.93,0.67,0.014,0.96,0.45,0.038,0.074,0.81,0.27,0.79,0.7,0.56,0.011,0.84,0.05,0.1,0.88,0.036,0.046,0.57,0.25,0.44,0.87,0.97,0.67,0.93,0.035
"ABHD10",0.17,0.16,0.21,0.24,0.49,0.77,0.59,0.63,0.17,0.76,0.027,1,0.55,0.95,0.027,0.84,0.12,0.62,0.22,0.91,0.75,0.92,0.46,0.14,0.18,0.092,0.1,0.49,0.79,0.26,0.26,0.96,0.87
"ABHD11",0.27,0.52,0.67,0.039,0.11,0.32,0.007,0.35,0.0074,0.71,0.34,0.37,0.025,0.034,0.0012,0.83,0.43,0.64,0.49,0.68,0.36,0.89,0.99,0.16,0.13,0.71,0.083,0.18,0.55,0.1,0.17,0.6,1
"ABHD12",0.18,0.51,0.012,0.08,0.89,0.5,0.12,0.89,0.32,0.5,0.24,0.0047,0.58,0.27,0.4,0.01,0.96,0.068,0.18,0.14,0.28,0.61,0.32,0.55,0.5,0.97,0.43,0.95,0.51,0.71,0.51,0.65,0.007
"ABHD12B",1,0.25,0.25,0.51,0.4,0.13,1,0.61,0.6,0.36,1,0.033,0.37,0.6,0.49,0.68,0.89,0.41,0.042,0.19,0.5,0.46,0.27,0.88,0.19,0.99,0.18,0.46,0.31,0.21,0.63,0.44,0.44
"ABHD13",0.088,0.88,0.67,0.53,0.74,0.31,0.25,0.067,0.42,0.88,0.68,0.0014,0.43,0.76,0.54,0.27,0.82,0.12,0.76,0.27,0.45,0.13,0.79,0.63,0.26,0.18,0.93,0.45,0.96,0.095,0.033,0.27,0.84
"ABHD14A",0.9,0.28,0.032,0.58,0.077,0.52,0.34,0.29,0.96,0.21,0.028,0.62,0.0022,0.92,1,0.62,0.087,0.66,0.42,0.28,0.0022,0.067,0.33,0.025,0.39,0.036,0.15,0.79,0.99,0.77,0.039,0.084,0.32
"ABHD14B",0.023,0.86,0.38,0.029,0.7,0.51,0.48,0.86,0.22,0.059,0.72,0.0014,0.0038,0.18,0.0037,0.54,0.089,0.94,0.14,1,0.3,0.099,0.69,0.62,0.17,0.012,0.67,0.46,0.19,0.94,0.17,0.095,0.11
"ABHD15",0.84,0.94,0.42,0.22,0.51,0.87,0.15,0.8,0.95,0.62,0.98,0.15,0.28,0.74,1,0.82,0.53,0.66,0.36,0.48,0.03,0.39,0.087,1,0.88,0.94,0.62,0.5,0.95,0.35,0.44,0.36,0.00028
"ABHD16A",0.17,0.32,0.61,0.85,0.88,0.97,0.84,0.3,0.062,0.81,0.63,0.47,0.16,0.16,0.39,0.52,0.23,0.73,0.21,0.084,0.0066,0.68,0.82,0.2,0.12,0.98,0.52,0.51,0.62,0.2,0.65,0.23,0.056
"ABHD16B",0.69,1,1,1,1,1,0.25,0.079,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.88,0.91,0.98,1
"ABHD17A",1,0.21,0.77,0.64,0.25,0.88,0.16,0.32,0.49,0.1,0.8,0.42,0.74,0.13,0.056,0.41,0.62,0.45,0.17,0.64,0.0057,0.99,0.024,0.93,0.28,0.39,0.96,0.94,0.41,0.7,0.28,0.8,0.63
"ABHD17AP1",0.0053,0.61,0.11,0.82,0.17,0.75,0.72,0.9,0.63,0.92,0.63,0.75,0.52,0.63,0.5,0.27,0.35,0.086,0.027,0.62,0.97,0.66,0.27,0.67,0.96,0.76,0.67,0.19,0.76,0.52,0.66,0.83,0.7
